german,english,german_full,s1,t1,s2,t2,s3,t3,s4,t4,s5,t5,s6,t6,s7,t7
führen,to lead,"führen, führt, führte, hat geführt",Der Lehrer führt seine Schüler durch das Museum.,The teacher guides his pupils through the museum.,Frau Meyer führt den Betrieb schon seit zehn Jahren.,Mrs. Meyer has been running the business for ten years.,Nach 20 Minuten führte unsere Mannschaft 2 : 0.,"After 20 minutes, our team led 2:0.",Die Straße führt direkt zum Bahnhof.,The road leads directly to the station.,,,,,,
funktionieren,to function,"funktionieren, funktioniert, funktionierte, hat funktioniert","Können Sie mir bitte mal zeigen, wie der Automat funktioniert?",Can you please show me how the machine works?,Unsere Ehe funktioniert nicht mehr.,Our marriage no longer works.,,,,,,,,,,
(sich) fürchten,to be afraid,"(sich) fürchten, fürchtet, fürchtete, hat gefürchtet",Sie fürchtet sich vor Schlangen.,She is afraid of snakes.,,,,,,,,,,,,
füttern,to feed,"füttern, füttert, fütterte, hat gefüttert","Es ist im Zoo nicht erlaubt, die Tiere zu füttern.",It is not permitted to feed the animals in the zoo.,,,,,,,,,,,,
garantieren,to guarantee,"garantieren, garantiert, garantierte, hat garantiert","Ich kann Ihnen nicht garantieren, dass das Gerät nächste Woche fertig ist.",I cannot guarantee that the device will be ready next week.,,,,,,,,,,,,
geben,to give,"geben, gibt, gab, hat gegeben",Geben Sie mir bitte eine Quittung!,Please give me a receipt!,Können Sie mir etwas zum Schreiben geben?,Can you give me something to write about?,Der Arzt hat mir eine Spritze gegeben.,The doctor gave me an injection.,Was gibt es im Fernsehen?,What's on television?,Es gibt bald Regen.,It will rain soon.,,,,
geboren werden,to be born,"geboren werden, wird geboren, wurde geboren, ist geboren worden",Wann und wo sind Sie geboren?,When and where were you born?,,,,,,,,,,,,
gebrauchen,to use,"gebrauchen, gebraucht, gebrauchte, hat gebraucht",Wir können diese Möbel gut gebrauchen.,We can make good use of this furniture.,Ich habe den Wagen gebraucht gekauft.,I bought the car second-hand.,Ich suche eine gebrauchte Waschmaschine.,I am looking for a used washing machine.,,,,,,,,
gefallen,to like (something),"gefallen, gefällt, gefiel, hat gefallen",Wie gefällt es Ihnen hier?,How do you like it here?,Der Pullover gefällt mir gut.,I like the sweater.,,,,,,,,,,
sich etwas gefallen lassen,to put up with something,"sich etwas gefallen lassen, lässt sich etwas gefallen, ließ sich etwas gefallen, hat sich etwas gefallen lassen",Das würde ich mir nicht gefallen lassen.,I wouldn't put up with that.,,,,,,,,,,,,
gehen,"to go, walk, function","gehen, geht, ging, ist gegangen",Ich gehe jeden Morgen zu Fuß zur Arbeit.,I walk to work every morning.,Der nächste Zug geht erst in zwei Stunden.,The next train doesn't leave for another two hours.,Geht Ihre Uhr richtig?,Is your watch running correctly?,"Geht das bis morgen? – Nein, das geht nicht. Ich brauche mehr Zeit.","Is that possible until tomorrow? - No, that's not possible. I need more time.",Das Fenster geht auf die Straße.,The window opens onto the street.,Wie geht es Ihnen heute?,How are you doing today?,Um was geht es denn?,What is it all about?
gehören,to belong to,"gehören, gehört, gehörte, hat gehört",Gehört Ihnen das Haus?,Do you own the house?,,,,,,,,,,,,
gelingen,to succeed,"gelingen, gelingt, gelang, ist gelungen","Es ist mir gelungen, meinen Chef zu überzeugen.",I managed to convince my boss.,,,,,,,,,,,,
gelten (als),"be effective/valid, be considered as (als)","gelten, gilt, galt, hat gegolten (als)",Mein Pass gilt noch ein Jahr.,My passport is valid for another year.,Bitte diesen Zettel gut aufheben: Er gilt als Garantie.,Please keep this note in a safe place: It is considered a guarantee.,,,,,,,,,,
genehmigen,to approve,"genehmigen, genehmigt, genehmigte, hat genehmigt",Mein Chef hat mir sechs Wochen Urlaub genehmigt.,My boss has given me six weeks' leave.,,,,,,,,,,,,
genießen,to enjoy,"genießen, genießt, genoss, hat genossen","Er kann das Essen leider nicht genießen, weil es zu scharf ist.","Unfortunately, he can't enjoy the food because it's too spicy.",Sie hat eine gute Ausbildung genossen.,She has enjoyed a good education.,,,,,,,,,,
genügen,to suffice,"genügen, genügt, genügte, hat genügt",Wie viele Zimmer brauchen Sie? – Mir genügt eine 2-Zimmer-Wohnung.,How many rooms do you need? - A 2-room apartment is enough for me.,,,,,,,,,,,,
geschehen,to happen,"geschehen, geschieht, geschah, ist geschehen",Vielen Dank für Ihre Hilfe. – Gern geschehen.,Thank you very much for your help. - You are welcome.,"Ich werde warten und sehen, was geschieht.",I will wait and see what happens.,,,,,,,,,,
gewinnen,to win,"gewinnen, gewinnt, gewann, hat gewonnen",Ich möchte so gern einmal im Lotto gewinnen.,I would love to win the lottery one day.,Unsere Mannschaft hat gewonnen.,Our team has won.,,,,,,,,,,
gewöhnen,to get used to,"gewöhnen, gewöhnt, gewöhnte, hat gewöhnt/ist gewöhnt an",Wir haben uns an das Leben hier gewöhnt.,We have become accustomed to life here.,"Ich bin daran gewöhnt, früh aufzustehen.",I'm used to getting up early.,,,,,,,,,,
gießen,to water,"gießen, gießt, goss, gegossen",Es hat nicht geregnet. Ich muss meine Blumen gießen.,It hasn't rained. I have to water my flowers.,,,,,,,,,,,,
glauben,to believe,"glauben, glaubt, glaubte, hat geglaubt","Ich glaube, der Chef ist heute nicht im Büro.",I don't think the boss is in the office today.,"Er glaubt mir nicht, dass ich schon um 8 Uhr hier war.",He doesn't believe me that I was here at 8 o'clock.,Glaubst du an Zufälle?,Do you believe in coincidences?,,,,,,,,
gratulieren,to congratulate,"gratulieren, gratuliert, gratulierte, hat gratuliert",Ich gratuliere euch zur Geburt eurer Tochter.,Congratulations on the birth of your daughter.,,,,,,,,,,,,
greifen,to grab,"greifen, greift, griff, hat gegriffen",Greifen Sie doch zu!,Why don't you grab it!,,,,,,,,,,,,
gründen,to found,"gründen, gründet, gründete, hat gegründet",Frau Bauer hat eine eigene Firma gegründet.,Ms. Bauer has founded her own company.,,,,,,,,,,,,
grüßen,to greet,"grüßen, grüßt, grüßte, hat gegrüßt","Wer war die Frau, die du eben gegrüßt hast?",Who was the woman you just greeted?,Ich soll Sie von Frau Meier grüßen.,Mrs. Meier sent her regards.,,,,,,,,,,
gucken,"to watch, look","gucken, guckt, guckte, hat geguckt",Guck doch mal! Es schneit.,Take a look! It's snowing.,Was bedeutet dieses Wort? – Guck doch im Wörterbuch nach.,What does this word mean? - Look it up in the dictionary.,,,,,,,,,,
haben,to have,"haben, hat, hatte, hat gehabt",Wir haben Hunger.,We are hungry.,Heute habe ich keine Zeit.,I don't have time today.,Wir haben ein neues Auto.,We have a new car.,Kann ich bitte eine Suppe haben?,"Can I have some soup, please?",Unsere Wohnung hat vier Zimmer.,Our apartment has four rooms.,Ich habe heute viel zu tun.,I have a lot to do today.,Du hast es gut. Du kannst in Urlaub fahren.,You have it good. You can go on vacation.
hageln,to hail,"hageln, hagelt, hagelte, hat gehagelt",Bei Gewitter kann es auch hageln.,It can also hail during thunderstorms.,,,,,,,,,,,,
halten,"to hold, keep, stop","halten, hält, hielt, hat gehalten",Kannst du mal kurz meine Handtasche halten?,Can you hold my handbag for a moment?,"Entschuldigung, hält dieser Zug auch in Darmstadt?","Excuse me, does this train also stop in Darmstadt?",Halten Sie bitte im Keller die Fenster geschlossen.,Please keep the windows closed in the cellar.,Alle Mieter müssen sich an die Hausordnung halten.,All tenants must adhere to the house rules.,Die Stadt will einen neuen Flughafen bauen. Was halten Sie davon?,The city wants to build a new airport. What do you think?,"Halt, Polizei! Fahren Sie bitte an den Straßenrand.","Stop, police! Please pull over to the side of the road.",Die Wurst hält sich noch ein paar Tage.,The sausage will keep for a few more days.
handeln,"to trade, deal","handeln, handelt, handelte, hat gehandelt",Herr Huber hat ein kleines Geschäft. Er handelt mit Obst und Gemüse.,Mr. Huber has a small business. He deals in fruit and vegetables.,Kann ich Sie bitte mal sprechen? – Worum handelt es sich denn?,"Can I have a word with you, please? - What is this all about?",Auf diesem Markt kannst du handeln und bekommst die Sachen billiger.,You can trade at this market and get things cheaper.,"Wir müssen jetzt handeln, die Lage ist ernst.","We have to act now, the situation is serious.",,,,,,
hängen,to hang,"hängen, hängt, hing/hängte, hat gehangen/gehängt",Das Bild hängt schief.,The picture hangs askew.,Hast du den Anzug wieder in den Schrank gehängt?,Did you put the suit back in the closet?,,,,,,,,,,
hassen,to hate,"hassen, hasst, hasste, hat gehasst",Ich hasse Autofahren.,I hate driving.,"Ich hasse es, zu spät zu kommen.",I hate being late.,,,,,,,,,,
heben,to lift,"heben, hebt, hob, hat gehoben",Kannst du mir helfen? Das Paket kann ich allein nicht heben.,Can you help me? I can't lift the parcel on my own.,"Wenn Sie für diesen Vorschlag sind, heben Sie bitte die Hand!","If you are in favor of this proposal, please raise your hand!",,,,,,,,,,
heiraten,to marry,"heiraten, heiratet, heiratete, hat geheiratet",Unsere Freunde heiraten nächsten Monat in Italien.,Our friends are getting married in Italy next month.,Wir haben 1980 geheiratet.,We got married in 1980.,Meine Schwester heiratet einen Japaner.,My sister is marrying a Japanese man.,,,,,,,,
heißen,"to call oneself, mean","heißen, heißt, hieß, hat geheißen",Wie heißen Sie?,What is your name?,Wie heißt das auf Deutsch?,What is it called in German?,Die Erklärung verstehe ich nicht. Was heißt das?,I don't understand the explanation. What does that mean?,,,,,,,,
heizen,to heat,"heizen, heizt, heizte, hat geheizt",Wir heizen mit Öl.,We heat with oil.,Ziehen Sie sich warm an. In der Halle ist nicht geheizt.,Dress warmly. The hall is not heated.,,,,,,,,,,
helfen,to help,"helfen, hilft, half, hat geholfen",Kannst du mir helfen? Ich muss nächsten Monat umziehen.,Can you help me? I have to move next month.,Die Tabletten haben mir gut geholfen.,The tablets have helped me well.,,,,,,,,,,
herstellen,to manufacture,"herstellen, stellt her, stellte her, hat hergestellt",In unserer Firma stellen wir Schokolade her.,We make chocolate in our company.,,,,,,,,,,,,
(herunter-)fahren,to shut down,"(herunter-)fahren, fährt herunter, fuhr herunter, hat heruntergefahren",Zum Schluss musst du den Computer herunterfahren.,"Finally, you must shut down the computer.",,,,,,,,,,,,
(hinunter) runterwerfen,to throw down,"(hinunter) runterwerfen, wirft runter, warf runter, hat runtergeworfen",Kannst du mir bitte den Schlüssel runterwerfen? Ich habe meinen vergessen.,Can you please throw me the key? I've forgotten mine.,,,,,,,,,,,,
hinterlassen,to leave behind,"hinterlassen, hinterlässt, hinterließ, hat hinterlassen",Möchten Sie eine Nachricht hinterlassen?,Would you like to leave a message?,,,,,,,,,,,,
hinweisen,to point out,"hinweisen, weist hin, wies hin, hat hingewiesen","Wir möchten Sie darauf hinweisen, dass das Rauchen am Bahnsteig nicht gestattet ist.",We would like to point out that smoking is not permitted on the platform.,,,,,,,,,,,,
hochladen,to upload,"hochladen, lädt hoch, lud hoch, hat hochgeladen",Kannst du bitte die Datei für die Hausaufgabe hochladen?,Can you please upload the file for the homework assignment?,,,,,,,,,,,,
hoffen,to hope,"hoffen, hofft, hoffte, hat gehofft","Ich hoffe, dass ihr zu meinem Geburtstag kommen könnt.",I hope you can come to my birthday.,Wir alle hoffen auf besseres Wetter.,We are all hoping for better weather.,,,,,,,,,,
holen,to get,"holen, holt, holte, hat geholt",Soll ich uns was zu trinken holen?,Shall I get us a drink?,Warum haben Sie nicht sofort einen Arzt geholt?,Why didn't you call a doctor immediately?,,,,,,,,,,
hören,"to hear, listen","hören, hört, hörte, hat gehört",Ich kann nicht mehr so gut hören.,I can no longer hear so well.,Ich höre jeden Tag die Nachrichten.,I listen to the news every day.,Dieses Wort habe ich noch nie gehört.,I've never heard that word before.,"Ich habe gehört, dass Herr Müller im Krankenhaus liegt.",I have heard that Mr. Müller is in hospital.,,,,,,
hupen,to honk,"hupen, hupt, hupte, hat gehupt",Hier ist ein Krankenhaus. Hier darfst du nicht hupen.,This is a hospital. You are not allowed to honk here.,,,,,,,,,,,,
husten,to cough,"husten, hustet, hustete, hat gehustet",Der Junge hat die ganze Nacht gehustet.,The boy has been coughing all night.,,,,,,,,,,,,
informieren,to inform,"informieren, informiert, informierte, hat informiert",Wir informieren Sie rechtzeitig über die neuen Prüfungstermine.,We will inform you of the new examination dates in good time.,Du musst dich vor der Reise genau über die Bedingungen informieren.,You must find out exactly what the conditions are before you travel.,,,,,,,,,,
installieren,to install,"installieren, installiert, installierte, hat installiert","Können Sie mir helfen, meinen Computer zu installieren?",Can you help me install my computer?,,,,,,,,,,,,
integrieren,to integrate,"integrieren, integriert, integrierte, hat integriert",Sie ist schon sehr gut im Team integriert.,She is already very well integrated into the team.,Die Leute aus dem Ausland sollen besser integriert werden.,People from abroad should be better integrated.,,,,,,,,,,
(sich) interessieren,to interest,"(sich) interessieren, interessiert, interessierte, hat interessiert für",Das Thema Kindererziehung interessiert mich sehr.,I am very interested in the subject of raising children.,Ich interessiere mich sehr für Fußball.,I am very interested in soccer.,,,,,,,,,,
sich irren,to be wrong,"sich irren, irrt sich, irrte sich, hat sich geirrt","Du irrst dich. Das Auto war nicht grün, sondern rot.","You are wrong. The car wasn't green, it was red.",Ich habe mich in der Hausnummer geirrt.,I made a mistake with the house number.,,,,,,,,,,
kämpfen,to fight,"kämpfen, kämpft, kämpfte, hat gekämpft",Die Frauen kämpfen für mehr Rechte.,The women are fighting for more rights.,,,,,,,,,,,,
(sich etwas) kaufen,to buy yourself something,"(sich etwas) kaufen, kauft, kaufte, hat gekauft",Im Supermarkt kauft man sehr günstig ein.,The supermarket is a very cheap place to shop.,Ich habe mir einen Pullover gekauft.,I bought myself a sweater.,,,,,,,,,,
kennen,"to know (a person, a place)","kennen, kennt, kannte, hat gekannt",Kennen Sie hier in der Nähe ein gemütliches Café?,Do you know of a cozy café nearby?,"Kennen Sie diese Frau? – Nein, leider nicht.","Do you know this woman? - No, unfortunately not.","Kennen Sie Berlin? – Ja, eine tolle Stadt.","Do you know Berlin? - Yes, it's a great city.",,,,,,,,
kennenlernen,to get to know,"kennenlernen, lernt kennen, lernte kennen, hat kennengelernt",Wo habt ihr euch kennengelernt?,Where did you meet?,Ich möchte gern reisen und andere Länder kennenlernen.,I would like to travel and get to know other countries.,,,,,,,,,,
klagen,"to sue, complain","klagen, klagt, klagte, hat geklagt",Sie klagt über Kopfschmerzen.,She complains of headaches.,,,,,,,,,,,,
klappen,"to function, work out well","klappen, klappt, klappte, hat geklappt",Wie war die Reise? – Gut. Es hat alles prima geklappt.,How was the trip? - It was good. Everything went really well.,,,,,,,,,,,,
klären,to clarify,"klären, klärt, klärte, hat geklärt","Ich hoffe, wir können dieses Problem bald klären.",I hope we can resolve this issue soon.,,,,,,,,,,,,
kleben,to glue,"kleben, klebt, klebte, hat geklebt",Die Briefmarke klebt nicht mehr.,The stamp no longer sticks.,Ich klebe Ihnen ein Pflaster darauf.,I'll put a plaster on it for you.,,,,,,,,,,
klettern,to climb,"klettern, klettert, kletterte, ist geklettert",Die Kinder sind auf den Baum geklettert.,The children climbed the tree.,,,,,,,,,,,,
klicken,to click,"klicken, klickt, klickte, hat geklickt","Wenn du die Datei öffnen willst, musst du mit der Maus zweimal klicken.","If you want to open the file, you have to click twice with the mouse.",,,,,,,,,,,,
klingeln,to ring,"klingeln, klingelt, klingelte, hat geklingelt","Ich glaube, es hat an der Tür geklingelt.",I think the doorbell rang.,Das Telefon klingelt.,The phone rings.,,,,,,,,,,
klingen,to sound,"klingen, klingt, klang, hat geklungen","Wollen wir einkaufen gehen und danach zusammen kochen? – Ja, das klingt gut.","Shall we go shopping and then cook together? - Yes, that sounds good.",,,,,,,,,,,,
klopfen,to knock,"klopfen, klopft, klopfte, hat geklopft",Da klopft jemand ans Fenster.,Someone knocks on the window.,Hat es nicht eben geklopft?,Hasn't there just been a knock?,Bitte klopfen Sie an.,Please knock on the door.,,,,,,,,
kochen,to cook,"kochen, kocht, kochte, hat gekocht",Ich koche gern.,I like to cook.,Das Wasser kocht.,The water is boiling.,Der Reis muss etwa 20 Minuten kochen.,The rice should cook for about 20 minutes.,,,,,,,,
kommen,to come,"kommen, kommt, kam, ist gekommen",Woher kommen Sie? – Aus Frankreich.,Where are you from? - From France.,Wir gehen heute Abend ins Konzert. Kommen Sie auch?,We're going to the concert tonight. Are you coming too?,"Wenn Sie mal nach Köln kommen, besuchen Sie uns.","If you ever come to Cologne, pay us a visit.",Steffi kommt im Herbst in die Schule.,Steffi starts school in the fall.,Die Straßenbahn muss gleich kommen.,The streetcar must be coming soon.,Wer kommt als Nächster dran?,Who will be next?,Wie sind Sie denn auf diese Idee gekommen?,How did you come up with this idea?
können,to be able to,"können, kann, konnte, hat gekonnt (hat können als Modalverb)",Ich kann den schweren Koffer nicht tragen.,I can't carry the heavy suitcase.,Sie können mit dem Bus zum Bahnhof fahren.,You can take the bus to the station.,Kann ich jetzt nach Hause gehen?,Can I go home now?,Können Sie mir helfen?,Can you help me?,Ich kann sehr gut Englisch und Deutsch.,I can speak English and German very well.,"Es kann sein, dass es heute noch regnet.",It may still rain today.,,
konsumieren,to consume,"konsumieren, konsumiert, konsumierte, hat konsumiert",Die Europäer haben im letzten Jahr mehr Fleisch konsumiert.,Europeans consumed more meat last year.,,,,,,,,,,,,
kontrollieren,to control,"kontrollieren, kontrolliert, kontrollierte, hat kontrolliert",Beim Auto müssen Sie regelmäßig das Öl kontrollieren.,You need to check the oil in your car regularly.,,,,,,,,,,,,
sich konzentrieren,to concentrate,"sich konzentrieren, konzentriert sich, konzentrierte sich, hat sich konzentriert",Bitte stör mich jetzt nicht. Ich muss mich auf meine Arbeit konzentrieren.,Please don't disturb me now. I need to concentrate on my work.,,,,,,,,,,,,
korrigieren,to correct,"korrigieren, korrigiert, korrigierte, hat korrigiert",Können Sie bitte meinen Brief korrigieren?,Can you please correct my letter?,Der Lehrer hat meine Fehler korrigiert.,The teacher corrected my mistakes.,,,,,,,,,,
kosten,to cost,"kosten, kostet, kostete, hat gekostet",Wie viel kostet das T-Shirt? – 15 Euro.,How much does the T-shirt cost? - 15 euros.,"Eine Wohnung zu finden, kostet viel Zeit.",Finding an apartment takes a lot of time.,,,,,,,,,,
kriegen,to get,"kriegen, kriegt, kriegte, hat gekriegt",Haben Sie meinen Brief gekriegt?,Did you get my letter?,"Was kriegen Sie? – Ein Schwarzbrot, bitte.","What can I get you? - A loaf of brown bread, please.",,,,,,,,,,
kritisieren,to criticize,"kritisieren, kritisiert, kritisierte, hat kritisiert",Kritisiere mich nicht so oft.,Don't criticize me so often.,,,,,,,,,,,,
sich kümmern,to take care of sth./sb.,"sich kümmern, kümmert sich, kümmerte sich, hat sich gekümmert um",Ich kann nicht arbeiten. Ich muss mich um die Kinder kümmern.,I can't work. I have to look after the children.,Ich habe keine Zeit. Ich muss mich um das Essen kümmern.,I don't have time. I have to take care of the food.,,,,,,,,,,
kündigen,"to terminate, cancel","kündigen, kündigt, kündigte, hat gekündigt",Ich war mit meiner Stelle nicht zufrieden und habe gekündigt.,I wasn't happy with my job and resigned.,Hast du deine Wohnung schon gekündigt?,Have you already given notice on your apartment?,Ich möchte die Zeitschrift nicht mehr. – Dann musst du schriftlich kündigen.,I no longer want the magazine. - Then you must cancel in writing.,,,,,,,,
küssen,to kiss,"küssen, küsst, küsste, hat geküsst",Er nahm sie in die Arme und küsste sie.,He took her in his arms and kissed her.,Beim Verabschieden haben wir uns alle geküsst.,"When we said goodbye, we all kissed each other.",,,,,,,,,,
lächeln,to smile,"lächeln, lächelt, lächelte, hat gelächelt",Schauen Sie in die Kamera. Bitte lächeln!,Look into the camera. Please smile!,,,,,,,,,,,,
lachen,to laugh,"lachen, lacht, lachte, hat gelacht",Lachen ist gesund.,Laughter is healthy.,Wir haben viel gelacht.,We laughed a lot.,Die Kinder haben über den Witz gelacht.,The children laughed at the joke.,,,,,,,,
landen,to land,"landen, landet, landete, ist gelandet",Wir sind erst um 20 Uhr in München gelandet.,We only landed in Munich at 8pm.,Wegen starken Nebels konnte die Maschine nicht in Frankfurt landen.,The plane was unable to land in Frankfurt due to heavy fog.,,,,,,,,,,
sich langweilen,to get bored,"sich langweilen, langweilt, langweilte, hat gelangweilt",Langweilst du dich?,Are you bored?,,,,,,,,,,,,
lassen,"to leave, get sth. done for you","lassen, lässt, ließ, hat gelassen",Ich habe mein Gepäck am Bahnhof gelassen.,I left my luggage at the station.,Am Samstag lasse ich mir die Haare schneiden.,I'm having my hair cut on Saturday.,Ich lasse meine Kinder abends nur eine Stunde fernsehen.,I only let my children watch TV for an hour in the evening.,Kann ich mein Auto hier stehen lassen?,Can I leave my car here?,Wo habe ich nur meine Brille gelassen?,Where did I leave my glasses?,Ich habe meinen Anzug reinigen lassen.,I had my suit dry cleaned.,Lass mich in Ruhe. Ich muss arbeiten.,Leave me alone. I have to work.
laufen,"to run, walk","laufen, läuft, lief, ist gelaufen","Ich bin gestern 100 m in 10,4 Sekunden gelaufen.",I ran 100 m in 10.4 seconds yesterday.,"Bist du mit dem Auto hier? – Nein, ich bin gelaufen.","Are you here by car? - No, I walked.",Jeden Morgen gehe ich eine halbe Stunde laufen.,I go running for half an hour every morning.,Wann läuft der Film?,When is the movie showing?,"Wie geht´s beruflich? – Danke, das Geschäft läuft gut.","How are things going professionally? - Thanks, business is going well.",,,,
leben,to live,"leben, lebt, lebte, hat gelebt",Leben Ihre Großeltern noch?,Are your grandparents still alive?,Herr Müller hat lange im Ausland gelebt.,Mr. Müller has lived abroad for a long time.,Von der Rente allein kann meine Tante nicht leben.,My aunt can't live on her pension alone.,Ich lebe noch bei meinen Eltern.,I still live with my parents.,,,,,,
legen,to lay,"legen, legt, legte, hat gelegt",Ich habe Ihnen die Briefe auf den Schreibtisch gelegt.,I have put the letters on your desk.,Legen Sie die Zeitungen bitte dort ins Regal.,Please put the newspapers on the shelf there.,,,,,,,,,,
leid tun,to feel sorry,"leid tun, tut leid, tat leid, hat leidgetan",Die Frau tut mir leid.,I feel sorry for the woman.,"Wie komme ich zum Bahnhof? - Tut mir leid, das weiß ich nicht.","How do I get to the station? - I'm sorry, I don't know.","Es tut mir leid, dass ich Ihnen nicht helfen kann.",I'm sorry that I can't help you.,,,,,,,,
leiden,to suffer,"leiden, leidet, litt, hat gelitten an",Er leidet an einer schweren Krankheit.,He suffers from a serious illness.,Sie leidet sehr unter den Verhältnissen.,She suffers greatly under the circumstances.,,,,,,,,,,
leihen,to borrow,"leihen, leiht, lieh, hat geliehen",Ich habe mir von meinem Bruder 50 Euro geliehen.,I borrowed 50 euros from my brother.,Ich kann dir mein Fahrrad leihen.,I can lend you my bike.,Sie können das Buch in der Bibliothek ausleihen.,You can borrow the book from the library.,,,,,,,,
leisten,"to afford, perform","leisten, leistet, leistete, hat geleistet",So ein teures Auto kann ich mir leider nicht leisten.,"Unfortunately, I can't afford such an expensive car.",Bei einem Unfall muss jeder Erste Hilfe leisten.,"In the event of an accident, everyone must provide first aid.",,,,,,,,,,
leiten,"to lead, guide","leiten, leitet, leitete, hat geleitet",Wer leitet den Kurs?,Who leads the course?,,,,,,,,,,,,
lernen,to learn,"lernen, lernt, lernte, hat gelernt",Wie lange lernen Sie schon Deutsch?,How long have you been learning German?,,,,,,,,,,,,
lesen,to read,"lesen, liest, las, hat gelesen","Ich habe gelesen, dass es ab heute Sonderangebote gibt.",I read that there are special offers starting today.,Deine Schrift kann ich nicht gut lesen.,I can't read your writing very well.,In der Schule lesen wir ein Buch von Goethe.,At school we read a book by Goethe.,,,,,,,,
lieben,to love,"lieben, liebt, liebte, hat geliebt",Ich liebe meine Familie.,I love my family.,Meine Frau liebt ihren Beruf.,My wife loves her job.,"Wir sind schon lange verheiratet, aber wir lieben uns immer noch.","We've been married for a long time, but we still love each other.",,,,,,,,
liefern,to deliver,"liefern, liefert, lieferte, hat geliefert",Wir liefern Ihnen das Regal direkt ins Haus.,We deliver the shelf directly to your home.,,,,,,,,,,,,
liegen,"to be, lie (in a place)","liegen, liegt, lag, hat/ist gelegen",Der Brief liegt schon auf Ihrem Schreibtisch.,The letter is already on your desk.,Judith liegt noch im Bett.,Judith is still in bed.,Er liegt schon seit drei Wochen im Krankenhaus.,He has been in hospital for three weeks.,Frankfurt liegt am Main.,Frankfurt is located on the Main.,In den Bergen liegt schon Schnee.,There is already snow in the mountains.,,,,
loben,to praise,"loben, lobt, lobte, hat gelobt",Ich habe alle Hausaufgaben gemacht. Der Lehrer hat mich heute gelobt.,I've done all my homework. The teacher praised me today.,,,,,,,,,,,,
sich lohnen,to be worthwhile,"sich lohnen, lohnt sich, lohnte sich, hat sich gelohnt",Für drei Tage zu meinen Eltern fahren lohnt sich nicht. Es ist zu weit.,It's not worth driving to my parents for three days. It's too far.,,,,,,,,,,,,
losfahren,"to drive off, leave","losfahren, fährt los, fuhr los, ist losgefahren",Wir fahren um 8 Uhr los. Sei bitte pünktlich.,We leave at 8 o'clock. Please be on time.,,,,,,,,,,,,
löschen,"to delete, erase, put out","löschen, löscht, löschte, hat gelöscht",Du kannst die Datei löschen. Ich brauche sie nicht mehr.,You can delete the file. I no longer need it.,Das Feuer wurde schnell gelöscht.,The fire was quickly extinguished.,,,,,,,,,,
lösen,to solve,"lösen, löst, löste, hat gelöst",Wir müssen dieses Problem lösen.,We have to solve this problem.,Sie können die Fahrkarten auch am Automaten lösen.,You can also buy tickets from a ticket machine.,,,,,,,,,,
lügen,to lie,"lügen, lügt, log, hat gelogen",Du sollst nicht lügen.,Thou shalt not lie.,"Glaube nicht alles, was man dir sagt. Es ist oft gelogen.",Don't believe everything you're told. It is often a lie.,,,,,,,,,,
machen,"to make, do","machen, macht, machte, hat gemacht",Was machst du am Wochenende?,What are you doing at the weekend?,Ich habe die Betten noch nicht gemacht.,I haven't made the beds yet.,Soll ich dir die Suppe noch einmal warm machen?,Shall I heat up the soup for you again?,Meine Arbeit macht mir viel Spaß.,I really enjoy my work.,Mach dir bitte keine Sorgen.,Please don't worry.,Tut mir leid. Die Küche hat schon geschlossen. – Da kann man nichts machen.,I'm sorry. The kitchen is already closed. - There's nothing we can do.,Das macht zusammen 20 Euro.,That makes a total of 20 euros.
malen,to paint,"malen, malt, malte, hat gemalt",Das Bild hat mein Vater gemalt.,The picture was painted by my father.,,,,,,,,,,,,
markieren,to mark,"markieren, markiert, markierte, hat markiert",Hier ist unser Hotel. Ich markiere Ihnen auf dem Plan den Weg zum Bahnhof.,Here is our hotel. I'll mark the way to the station on the map.,,,,,,,,,,,,
meinen,"to think, mean","meinen, meint, meinte, hat gemeint",Dieser Film ist gut. Was meinst du?,This movie is good. What do you think?,"Ich meine, du solltest weniger rauchen.","I mean, you should smoke less.",,,,,,,,,,
melden,"to report, answer","melden, meldet, meldete, hat gemeldet",Ich habe schon zweimal angerufen. Aber es meldet sich niemand.,I have already called twice. But no one answers.,Den Unfall müssen Sie der Versicherung melden.,You must report the accident to the insurance company.,Warum hast du dich so lange nicht gemeldet? Warst du krank?,Why haven't you been in touch for so long? Were you ill?,,,,,,,,
(sich) merken,"to notice, remember","(sich) merken, merkt, merkte, hat gemerkt","Ich habe nicht gemerkt, dass es schon so spät ist. Ich muss gehen.",I didn't realize it was so late. I have to go.,Ich kann mir keine Zahlen merken. Ich vergesse sie sofort wieder.,I can't remember numbers. I forget them straight away.,,,,,,,,,,
messen,to measure,"messen, misst, maß, hat gemessen",Haben Sie schon Fieber gemessen?,Have you taken your temperature yet?,Ich habe das Zimmer ausgemessen. Es sind genau 20 m².,I have measured the room. It's exactly 20 m².,,,,,,,,,,
mieten,to rent,"mieten, mietet, mietete, hat gemietet",Wir haben die Wohnung für drei Jahre gemietet.,We have rented the apartment for three years.,Im Urlaub haben wir ein Auto gemietet.,We rented a car on vacation.,,,,,,,,,,
mischen,to mix,"mischen, mischt, mischte, hat gemischt",Ich möchte ein gemischtes Eis mit Sahne.,I would like a mixed ice cream with cream.,"Wie möchten Sie das Geld? – Bitte gemischt, große und kleine Scheine.",How would you like the money? - Please mix large and small bills.,,,,,,,,,,
